Desired Pack Characteristics,,,,,Notes:,*Calculated for 20% SOC at 40°C if Data is Available,,,,,,,,,,,,,,,,,,,,,
Voltage (V):,,550.00,,,,**Calculated from 2 sec Peak Discharge Current & Nominal Voltage,,,,,,,,,,,,,,,,,,,,,
Energy (kWh):,,6.70,,,,***Defined Along Tab Direction,,,,,,,,,,,,,,,,,,,,,
Peak Power (kW):,,70.00,,,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,Electrical,,,,,,,,,,,,,Mechanical,,,,,,,,Financial,,
Model,Manufacturer,Chemistry,Type,Voltage (V),,"Capacity
 (Ah)",Discharge (A),,Internal Resistance* (mΩ),,Configuration,,Target ,,,"Energy Density
(Wh/L)","Length***
(mm)","Diameter / 
Width (mm)","Thickness
 (mm)",Mass,,"Cell Volume
(L)"," Density 
(kg/L)","Gravimetric 
Density (Wh/kg)","Country of 
Origin",Cost ($),
,,,,Nominal,Max,,Continuous,Max,Cell ,Pack,Series,Parallel,ΔVoltage (V),ΔCapacity (kWh),ΔPower** (kW),,,,,Cell (g),Total (kg),,,,,Cell,Total
25r,Samsung,NMC,Cylindrical,3.60,4.20,2.5,20.0,,,,130,5,-4.000,0.125,,476.59,64.90,18.33,,43.8,28.5,1.71E-2,2.56,205.48,Korea,3.30,"$2,145"
VTC5,Sony,NMC,Cylindrical,3.60,4.20,2.6,20.0,,,,130,5,-4.000,0.398,,501.98,65.00,18.20,,44.1,28.7,1.69E-2,2.61,212.24,Japan,3.75,"$2,438"
VTC6,Sony,NMC,Cylindrical,3.60,4.20,3.0,15.0,30.0,21.8,708.5,130,4,-4.000,-0.148,-13.840,569.78,65.00,18.35,,46.6,24.2,1.72E-2,2.71,231.76,Japan,4.65,"$2,418"
30q,Samsung,NMC,Cylindrical,3.60,4.20,3.0,15.0,,32.2,1046.5,130,4,-4.000,-0.148,,569.27,65.20,18.33,,48.0,25.0,1.72E-2,2.79,225.00,Korea,3.55,"$1,846"
30b,Samsung,LCO,Cylindrical,3.78,4.35,3.0,5.9,,,,126,4,-1.900,-0.232,,583.31,65.20,18.40,,48.0,24.2,1.73E-2,2.77,232.31,Korea,,
20s,Samsung,NMC,Cylindrical,3.60,4.20,2.0,30.0,,,,130,6,-4.000,-0.148,,375.41,65.20,18.43,,45.7,35.6,1.74E-2,2.63,157.55,Korea,4.00,"$3,120"
HD2,LG,NMC,Cylindrical,3.65,4.20,2.0,25.0,,,,130,6,-4.000,-0.148,,377.75,65.20,18.50,,48.0,37.4,1.75E-2,2.74,152.08,Korea,3.00,"$2,340"
HG2,LG,NMC,Cylindrical,3.60,4.20,3.0,20.0,,,,130,4,-4.000,-0.148,,571.14,65.20,18.30,,48.0,25.0,1.71E-2,2.80,225.00,Korea,4.25,"$2,210"
30T,Samsung,NMC,Cylindrical,3.60,4.20,3.0,35.0,,,,130,4,-4.000,-0.148,,393.96,70.30,21.22,,68.2,35.5,2.49E-2,2.74,158.36,Korea,4.80,"$2,496"
40T,Samsung,NMC,Cylindrical,3.60,4.20,4.0,35.0,,,,130,3,-4.000,-0.148,,525.27,70.30,21.22,,66.8,26.1,2.49E-2,2.69,215.57,Korea,,
IMP1060160P10A,Farasis,NMC,Pouch,3.70,4.20,10.2,40.0,110.0,5.8,754.0,130,1,-4.000,-1.131,-17.090,393.13,160.00,60.00,10.00,198.0,25.7,9.60E-2,2.06,190.61,USA,,
IMP06160230P29,Farasis,NMC,Pouch,3.70,4.20,29.0,116.0,200.0,5.8,,130,0,-4.000,,,482.94,230.00,161.00,6.00,485.0,,2.22E-1,2.18,221.24,USA,,
IMP06160230P29F,Farasis,NMC,Pouch,3.70,4.20,32.0,128.0,320.0,5.8,,130,0,-4.000,,,532.90,230.00,161.00,6.00,515.0,,2.22E-1,2.32,229.90,USA,,
SLPBB042126,Melasta,,Pouch,3.70,4.20,6.6,1.3,98.3,1.5,97.5,130,2,-4.000,0.453,24.517,445.44,127.00,42.00,10.20,126.0,32.8,5.44E-2,2.32,192.34,China,,
SLPB065070180,Kokam,,Pouch,3.70,4.20,11.6,2.0,4.0,2.8,364.0,130,1,-4.000,-0.366,-68.076,418.47,185.00,84.00,6.60,175.0,22.8,1.03E-1,1.71,245.26,Korea,,
SPB70115145/12,Enertech,,Pouch,3.70,4.20,12.0,6.0,24.0,4.0,520.0,130,1,-4.000,-0.148,-58.456,380.38,145.00,115.00,7.00,240.0,31.2,1.17E-1,2.06,185.00,Korea,,
BCP-FE-30E,,,Pouch,3.20,,30.0,90.0,,,,,,,,,,,,,590.0,,,,162.71,,7.56,
BCP-NE-37K,,,Pouch,3.70,,37.0,111.0,,,,,,,,#REF!,,,,,620.0,#REF!,,,220.81,,22.00,#REF!
VPW 580049,,,Pouch,3.70,,22.0,330.0,,,,,,,,,,,,,415.0,,,,196.14,,,
VPW 580050,,,Pouch,3.70,,16.0,240.0,,,,,,,,,,,,,300.0,,,,197.33,,,
VPW 580051,,,,3.70,4.20,13.0,195.0,390.0,3.0,390.0,130,1,-4.000,0.398,117.590,414.84,164.00,70.00,10.10,248.0,32.2,1.16E-1,2.14,193.95,USA,,
VPW 580052,,,Pouch,3.70,4.20,8.0,120.0,240.0,3.0,195.0,130,2,-4.000,2.036,160.880,363.07,158.00,60.00,8.60,167.0,43.4,8.15E-2,2.05,177.25,USA,,
VPW 580053,,,Pouch,3.70,,37.0,111.0,,,,,,,,,,0.40,,,830.0,,,,164.94,,,
VPW 580054,,,Pouch,3.70,,22.0,550.0,,,,,,,,,,0.22,,,445.0,,,,182.92,,,
No Name,,,Prismatic,3.20,,40.0,120.0,,,,,,,,,,1.04,,,1400.0,,,,91.43,,,
No Name,,,Prismatic,3.20,,20.0,40.0,,,,,,,,,,0.47,,,750.0,,,,85.33,,,
No Name,,,Prismatic,3.20,,200.0,400.0,,,,,,,,,,4.56,,,6500.0,,,,98.46,,,
No Name,,,Prismatic,3.20,,100.0,300.0,,,,,,,,,,2.05,,,3200.0,,,,100.00,,,
No Name,,,Prismatic,3.20,,60.0,180.0,,,,,,,,,,1.47,,,2500.0,,,,76.80,,,
No Name,,,Prismatic,12.80,,20.0,40.0,,,,,,,,,,2.38,,,3250.0,,,,78.77,,,
