Time[s],Voltage[V],Current[A],OverVoltage,OverPower,,
0,78.85881042,0.617248535,FALSE,FALSE,,116.9359579
58.9,106.0681458,0.772979736,FALSE,FALSE,,
59,106.0666351,0.771377563,FALSE,FALSE,,
59.1,106.0675201,0.744522095,FALSE,FALSE,,
59.2,106.0669403,0.797836304,FALSE,FALSE,,
59.3,106.0704498,0.731658936,FALSE,FALSE,,
59.4,106.0699615,0.761642456,FALSE,FALSE,,
59.5,106.0721283,0.717071533,FALSE,FALSE,,
59.6,106.0703125,0.74357605,FALSE,FALSE,,
59.7,106.068573,0.721206665,FALSE,FALSE,,
59.8,106.068573,0.758804321,FALSE,FALSE,,
59.9,106.0697632,0.760513306,FALSE,FALSE,,
60,106.0687408,0.743515015,FALSE,FALSE,,
60.1,106.068222,0.757507324,FALSE,FALSE,,
60.2,106.0654602,0.766479492,FALSE,FALSE,,
60.3,106.0666809,0.767074585,FALSE,FALSE,,
60.4,106.0686493,0.748474121,FALSE,FALSE,,
60.5,106.0688019,0.724746704,FALSE,FALSE,,
60.6,106.06604,0.725341797,FALSE,FALSE,,
60.7,106.0684509,0.733596802,FALSE,FALSE,,
60.8,106.0619812,1.255645752,FALSE,FALSE,,
60.9,106.0313873,2.823699951,FALSE,FALSE,,
61,105.9293365,8.192520142,FALSE,FALSE,,
61.1,105.8820801,10.28569031,FALSE,FALSE,,
61.2,105.8061676,13.77319336,FALSE,FALSE,,
61.3,105.6772003,20.35864258,FALSE,FALSE,,
61.4,105.5789948,25.56599426,FALSE,FALSE,,
61.5,105.5081635,28.82302856,FALSE,FALSE,,
61.6,105.437027,31.81706238,FALSE,FALSE,,
61.7,105.3629913,35.04676819,FALSE,FALSE,,
61.8,105.2905426,38.81521606,FALSE,FALSE,,
61.9,105.2100067,42.29403687,FALSE,FALSE,,
62,105.11586,47.039505,FALSE,FALSE,,
62.1,105.0517578,49.6418457,FALSE,FALSE,,
62.2,104.9658356,53.71704102,FALSE,FALSE,,
62.3,104.8635559,58.0425415,FALSE,FALSE,,
62.4,104.7950287,60.96850586,FALSE,FALSE,,
62.5,104.7479248,63.37432861,FALSE,FALSE,,
62.6,104.6279144,68.7111969,FALSE,FALSE,,
62.7,104.5954895,69.79429626,FALSE,FALSE,,
62.8,104.5162354,73.75254822,FALSE,FALSE,,
62.9,104.5117645,73.19224548,FALSE,FALSE,,
63,104.4277649,76.0300293,FALSE,FALSE,,
63.1,104.3269806,81.24699402,FALSE,FALSE,,
63.2,104.2850189,82.90119934,FALSE,FALSE,,
63.3,104.1931915,86.66055298,FALSE,FALSE,,
63.4,104.1308594,89.63598633,FALSE,FALSE,,
63.5,104.0540466,93.00158691,FALSE,FALSE,,
63.6,103.9000092,99.89784241,FALSE,FALSE,,
63.7,103.827774,102.7598877,FALSE,FALSE,,
63.8,103.7545471,105.9622498,FALSE,FALSE,,
63.9,103.6717682,109.3964539,FALSE,FALSE,,
64,103.6264648,110.2216949,FALSE,FALSE,,
64.1,103.515274,115.4725494,FALSE,FALSE,,
64.2,103.437973,119.6200562,FALSE,FALSE,,
64.3,103.4693756,116.610199,FALSE,FALSE,,
64.4,103.3699646,121.019043,FALSE,FALSE,,
64.5,103.3915253,118.0459137,FALSE,FALSE,,
64.6,103.210907,126.7586517,FALSE,FALSE,,
64.7,103.2930908,122.6133881,FALSE,FALSE,,
64.8,103.1663361,128.611084,FALSE,FALSE,,
64.9,103.2558746,122.6060638,FALSE,FALSE,,
65,103.188385,126.2516022,FALSE,FALSE,,
65.1,103.2015228,124.112381,FALSE,FALSE,,
65.2,103.0980225,129.6522064,FALSE,FALSE,,
65.3,103.0622406,129.8747101,FALSE,FALSE,,
65.4,102.9709625,135.0862579,FALSE,FALSE,,
65.5,103.1500854,124.4280396,FALSE,FALSE,,
65.6,103.6868591,95.67565918,FALSE,FALSE,,
65.7,104.3215942,63.62055969,FALSE,FALSE,,
65.8,105.5746918,-0.371109009,FALSE,FALSE,,
65.9,105.6106262,0.106887817,FALSE,FALSE,,
66,105.6523895,-1.688812256,FALSE,FALSE,,
66.1,105.6274109,0.741928101,FALSE,FALSE,,
66.2,105.6635742,-0.328781128,FALSE,FALSE,,
66.3,105.677063,-0.57069397,FALSE,FALSE,,
66.4,105.6776581,-0.116195679,FALSE,FALSE,,
66.5,105.6903229,-0.041641235,FALSE,FALSE,,
66.6,105.7031555,-0.148132324,FALSE,FALSE,,
66.7,105.7055969,-0.086975098,FALSE,FALSE,,
66.8,105.7153625,-0.157516479,FALSE,FALSE,,
66.9,105.7217712,-0.098480225,FALSE,FALSE,,
67,105.7322693,-0.297668457,FALSE,FALSE,,
67.1,105.7327728,-0.092819214,FALSE,FALSE,,
67.2,105.7373352,-0.095825195,FALSE,FALSE,,
67.3,105.7449493,-0.055099487,FALSE,FALSE,,
67.4,105.7488251,-0.114013672,FALSE,FALSE,,
67.5,105.7191467,2.073974609,FALSE,FALSE,,
67.6,105.6677856,4.502929688,FALSE,FALSE,,
67.7,105.6321259,6.583709717,FALSE,FALSE,,
67.8,105.5939941,9.157669067,FALSE,FALSE,,
67.9,105.5353088,11.67588806,FALSE,FALSE,,
68,104.9658356,41.3687439,FALSE,FALSE,,
68.1,104.9732819,40.14849854,FALSE,FALSE,,
68.2,104.982666,39.2059021,FALSE,FALSE,,
68.3,105.100769,33.04537964,FALSE,FALSE,,
68.4,105.1176758,31.48640442,FALSE,FALSE,,
68.5,105.1279449,31.02098083,FALSE,FALSE,,
68.6,105.1000061,32.85966492,FALSE,FALSE,,
68.7,105.0645599,33.98361206,FALSE,FALSE,,
68.8,105.0611115,34.21656799,FALSE,FALSE,,
68.9,105.072113,33.46116638,FALSE,FALSE,,
69,105.0809784,33.06716919,FALSE,FALSE,,
69.1,105.1148834,31.19294739,FALSE,FALSE,,
69.2,105.1457977,29.93051147,FALSE,FALSE,,
69.3,105.1489868,29.1275177,FALSE,FALSE,,
69.4,105.1444855,29.34736633,FALSE,FALSE,,
69.5,105.3221283,19.93011475,FALSE,FALSE,,
69.6,105.5225677,9.694580078,FALSE,FALSE,,
69.7,105.7391968,-0.399200439,FALSE,FALSE,,
69.8,105.7414398,-0.153686523,FALSE,FALSE,,
69.9,105.744812,-0.021148682,FALSE,FALSE,,
70,105.754364,-0.126937866,FALSE,FALSE,,
70.1,105.7520294,0.180679321,FALSE,FALSE,,
70.2,105.7628326,-0.249557495,FALSE,FALSE,,
70.3,105.7640228,-0.118560791,FALSE,FALSE,,
70.4,105.7549286,0.219238281,FALSE,FALSE,,
70.5,105.7701569,-0.069976807,FALSE,FALSE,,
70.6,105.7618866,0.4324646,FALSE,FALSE,,
70.7,105.7789764,-0.27003479,FALSE,FALSE,,
70.8,105.7756348,0.346160889,FALSE,FALSE,,
70.9,105.7783661,0.038299561,FALSE,FALSE,,
71,105.7838135,-0.090454102,FALSE,FALSE,,
71.1,105.7608948,1.267501831,FALSE,FALSE,,
71.2,105.6077728,9.300933838,FALSE,FALSE,,
71.3,105.5005493,14.9344635,FALSE,FALSE,,
71.4,105.4442596,17.61160278,FALSE,FALSE,,
71.5,105.4450684,17.02018738,FALSE,FALSE,,
71.6,105.4379578,17.49665833,FALSE,FALSE,,
71.7,105.4415588,17.42352295,FALSE,FALSE,,
71.8,105.4199371,18.08599854,FALSE,FALSE,,
71.9,105.3886566,19.85649109,FALSE,FALSE,,
72,105.3624878,20.94573975,FALSE,FALSE,,
72.1,105.3213043,22.96777344,FALSE,FALSE,,
72.2,105.2547455,26.48951721,FALSE,FALSE,,
72.3,105.1395264,32.48603821,FALSE,FALSE,,
72.4,105.000885,39.04632568,FALSE,FALSE,,
72.5,104.735611,52.51132202,FALSE,FALSE,,
72.6,104.3462067,71.55429077,FALSE,FALSE,,
72.7,104.1253052,82.18374634,FALSE,FALSE,,
72.8,103.972229,89.24642944,FALSE,FALSE,,
72.9,103.8858643,92.48899841,FALSE,FALSE,,
73,103.7153931,100.7655945,FALSE,FALSE,,
73.1,103.4771881,112.0982666,FALSE,FALSE,,
73.2,103.3727264,115.6614532,FALSE,FALSE,,
73.3,103.295578,119.515274,FALSE,FALSE,,
73.4,103.361557,114.7549286,FALSE,FALSE,,
73.5,103.8283691,90.21098328,FALSE,FALSE,,
73.6,103.8806152,86.72950745,FALSE,FALSE,,
73.7,103.803772,91.4730835,FALSE,FALSE,,
73.8,103.7060699,95.610672,FALSE,FALSE,,
73.9,103.6595154,97.71824646,FALSE,FALSE,,
74,103.6238708,98.03520203,FALSE,FALSE,,
74.1,103.5687103,101.517807,FALSE,FALSE,,
74.2,103.5397797,102.1334229,FALSE,FALSE,,
74.3,103.4988861,103.4972229,FALSE,FALSE,,
74.4,103.4914703,102.3024292,FALSE,FALSE,,
74.5,103.4758759,103.4048309,FALSE,FALSE,,
74.6,103.427887,105.6856232,FALSE,FALSE,,
74.7,103.3830872,107.3002014,FALSE,FALSE,,
74.8,103.4005127,105.3622894,FALSE,FALSE,,
74.9,103.3516083,107.3397064,FALSE,FALSE,,
75,103.302536,109.1898956,FALSE,FALSE,,
75.1,103.2524567,111.1857147,FALSE,FALSE,,
75.2,103.2577667,111.5269928,FALSE,FALSE,,
75.3,103.2683716,109.0618439,FALSE,FALSE,,
75.4,103.2424164,110.1497345,FALSE,FALSE,,
75.5,103.2925568,106.8953552,FALSE,FALSE,,
75.6,103.3024139,107.1579895,FALSE,FALSE,,
75.7,103.3929291,101.2711029,FALSE,FALSE,,
75.8,103.4800568,97.08003235,FALSE,FALSE,,
75.9,103.5660706,92.34194946,FALSE,FALSE,,
76,104.1356812,59.04705811,FALSE,FALSE,,
76.1,105.3275757,1.502227783,FALSE,FALSE,,
76.2,105.4127502,-0.788650513,FALSE,FALSE,,
76.3,105.4407806,-1.171783447,FALSE,FALSE,,
76.4,105.4459991,-0.784515381,FALSE,FALSE,,
76.5,105.4552765,-0.383743286,FALSE,FALSE,,
76.6,105.4676514,-0.346603394,FALSE,FALSE,,
76.7,105.4675598,-0.114242554,FALSE,FALSE,,
76.8,105.4876099,-0.339233398,FALSE,FALSE,,
76.9,105.4906921,-0.167678833,FALSE,FALSE,,
77,105.514328,-0.864990234,FALSE,FALSE,,
77.1,105.497757,0.342269897,FALSE,FALSE,,
77.2,105.508255,-0.085144043,FALSE,FALSE,,
77.3,105.5244141,-0.39956665,FALSE,FALSE,,
