Cell Model,30Q
Cell Number,10
Power Level,23.15
Load,2
Temperature,40
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540205991.6586366,4.19612,0,,,
1540205991.7443933,4.19612,0,0,0,0
1540205991.8397417,4.11369,0,,,
1540205991.942241,4.11369,3.94249,,,
1540205992.0517654,4.11369,3.94249,,,
1540205992.141483,4.11369,3.94249,,,
1540205992.2416422,4.06252,5.69781,,,
1540205992.3616102,4.06252,5.69781,,,
1540205992.459405,4.06252,5.69781,,,
1540205992.544512,4.05775,5.7045,,,
1540205992.6432374,4.05775,5.7045,,,
1540205992.742117,4.05775,5.7045,0,0,0
1540205992.849882,4.05405,5.7045,,,
1540205992.9609935,4.05405,5.7094,,,
1540205993.044173,4.05405,5.7094,,,
1540205993.162422,4.05405,5.7094,,,
1540205993.2424724,4.05093,5.71402,,,
1540205993.3507588,4.05093,5.71402,,,
1540205993.4441175,4.05093,5.71402,,,
1540205993.544124,4.04814,5.71814,,,
1540205993.6443653,4.04814,5.71814,,,
1540205993.7670016,4.04814,5.71814,0,0,0
1540205993.8443673,4.04556,5.71814,,,
1540205993.9636853,4.04556,5.72148,,,
1540205994.04499,4.04556,5.72148,,,
1540205994.1578715,4.04556,5.72148,,,
1540205994.2449932,4.04321,5.72508,,,
1540205994.3454688,4.04321,5.72508,,,
1540205994.4454863,4.04321,5.72508,,,
1540205994.5508363,4.04094,5.72816,,,
1540205994.6634674,4.04094,5.72816,,,
1540205994.766929,4.04094,5.72816,0,0,0
1540205994.846485,4.03889,5.72816,,,
1540205994.9464924,4.03889,5.731,,,
1540205995.0564885,4.03889,5.731,,,
1540205995.1471195,4.03889,5.731,,,
1540205995.2474902,4.03685,5.73357,,,
1540205995.3472364,4.03685,5.73357,,,
1540205995.4668632,4.03685,5.73357,,,
1540205995.58431,4.03496,5.73666,,,
1540205995.6479723,4.03496,5.73666,,,
1540205995.7473655,4.03496,5.73666,0,0,0
1540205995.8578525,4.03314,5.73666,,,
1540205995.9479783,4.03314,5.73923,,,
1540205996.04821,4.03314,5.73923,,,
1540205996.1472251,4.03314,5.73923,,,
1540205996.258105,4.0314,5.74155,,,
1540205996.375151,4.0314,5.74155,,,
1540205996.452451,4.0314,5.74155,,,
1540205996.5484667,4.02974,5.74387,,,
1540205996.6503499,4.02974,5.74387,,,
1540205996.7658784,4.02974,5.74387,0,0,0
1540205996.8482368,4.02815,5.74387,,,
1540205996.9483545,4.02815,5.74591,,,
1540205997.048225,4.02815,5.74591,,,
1540205997.1665173,4.02815,5.74591,,,
1540205997.2594063,4.02657,5.74849,,,
1540205997.349081,4.02657,5.74849,,,
1540205997.4487255,4.02657,5.74849,,,
1540205997.5674655,4.02505,5.75055,,,
1540205997.6500616,4.02505,5.75055,,,
1540205997.749179,4.02505,5.75055,0,0,0
1540205997.8490665,4.02361,5.75055,,,
1540205997.9719443,4.02361,5.75261,,,
1540205998.0644596,4.02361,5.75261,,,
1540205998.149322,4.02361,5.75261,,,
1540205998.2494037,4.02217,5.75467,,,
1540205998.3493848,4.02217,5.75467,,,
1540205998.4563332,4.02217,5.75467,,,
1540205998.5514433,4.02081,5.75467,,,
1540205998.65119,4.02081,5.75647,,,
1540205998.7537737,4.02081,5.75647,0,0,0
1540205998.8841228,4.01945,5.75647,,,
1540205998.9793448,4.01945,5.75851,,,
1540205999.0528135,4.01945,5.75851,,,
1540205999.149971,4.01945,5.75851,,,
1540205999.2598426,4.01816,5.76057,,,
