Cell Model,VTC6
Cell Number,10
Power Level,34.73
Load,1
Temperature,40
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1541171767.9369504,4.19452,0.000106812,,,
1541171768.0343218,4.19452,0.000106812,0,0,0
1541171768.1318703,4.19452,0.000106812,,,
1541171768.2326694,3.97707,0.000106812,,,
1541171768.3394482,3.97707,8.38857,,,
1541171768.4366899,3.97707,8.38857,,,
1541171768.5456917,3.93561,8.38857,,,
1541171768.649634,3.93561,8.82327,,,
1541171768.7372105,3.93561,8.82327,,,
1541171768.8430054,3.93561,8.82327,,,
1541171768.9406586,3.92767,8.84096,,,
1541171769.0492458,3.92767,8.84096,0,0,0
1541171769.1422942,3.92767,8.84096,,,
1541171769.2382,3.92154,8.84096,,,
1541171769.3413558,3.92154,8.85454,,,
1541171769.4461002,3.92154,8.85454,,,
1541171769.5373812,3.91647,8.85454,,,
1541171769.638375,3.91647,8.86581,,,
1541171769.7367446,3.91647,8.86581,,,
1541171769.8442423,3.91647,8.86581,,,
1541171769.9387724,3.912,8.87582,,,
1541171770.0384114,3.912,8.87582,0,0,0
1541171770.1409774,3.912,8.87582,,,
1541171770.255079,3.90807,8.88478,,,
1541171770.3613842,3.90807,8.88478,,,
1541171770.4430776,3.90807,8.88478,,,
1541171770.5390568,3.90443,8.88478,,,
1541171770.6463168,3.90443,8.89299,,,
1541171770.7512941,3.90443,8.89299,,,
1541171770.8462865,3.90443,8.89299,,,
1541171770.9393249,3.90111,8.90042,,,
1541171771.0401194,3.90111,8.90042,0,0,0
1541171771.1419928,3.90111,8.90042,,,
1541171771.2454035,3.89809,8.90042,,,
1541171771.3405776,3.89809,8.90735,,,
1541171771.4394712,3.89809,8.90735,,,
1541171771.553942,3.8952,8.90735,,,
1541171771.6644456,3.8952,8.914,,,
1541171771.7402387,3.8952,8.914,,,
1541171771.8390908,3.8952,8.914,,,
1541171771.9471977,3.89256,8.92017,,,
1541171772.0533476,3.89256,8.92017,0,0,0
1541171772.1406126,3.89256,8.92017,,,
1541171772.2410047,3.88998,8.92017,,,
1541171772.345465,3.88998,8.92554,,,
1541171772.447764,3.88998,8.92554,,,
1541171772.5437112,3.88998,8.92554,,,
1541171772.6449041,3.88765,8.93118,,,
1541171772.7421062,3.88765,8.93118,,,
1541171772.8442504,3.88765,8.93118,,,
1541171772.9479032,3.88538,8.93657,,,
1541171773.046048,3.88538,8.93657,0,0,0
1541171773.143557,3.88538,8.93657,,,
1541171773.2591994,3.88326,8.93657,,,
1541171773.369288,3.88326,8.94118,,,
