Cell Model,30Q
Cell Number,100
Power Level,34.73
Load,2
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1543218179.3356357,4.19438,0,,,
1543218179.4314861,4.19438,0,0,0,0
1543218179.553155,4.19438,4.50403,,,
1543218179.6346474,3.95314,4.50403,,,
1543218179.7333827,3.95314,4.50403,,,
1543218179.8318608,3.95314,8.90492,,,
1543218179.9431064,3.89334,8.90492,,,
1543218180.0571072,3.89334,8.90492,,,
1543218180.1361961,3.89334,8.90492,,,
1543218180.2337227,3.89334,8.93245,,,
1543218180.3357182,3.88426,8.93245,,,
1543218180.4508886,3.88426,8.93245,0,0,0
1543218180.535,3.88426,8.94891,,,
1543218180.6366029,3.87782,8.94891,,,
1543218180.733992,3.87782,8.94891,,,
1543218180.8573086,3.87782,8.96178,,,
1543218180.9366853,3.8726,8.96178,,,
1543218181.0346255,3.8726,8.96178,,,
1543218181.1352694,3.8726,8.96178,,,
1543218181.2500842,3.8726,8.9731,,,
1543218181.3353608,3.86806,8.9731,,,
1543218181.4353676,3.86806,8.9731,0,0,0
1543218181.535495,3.86806,8.98286,,,
1543218181.661791,3.86397,8.98286,,,
1543218181.7550974,3.86397,8.98286,,,
1543218181.836508,3.86397,8.99187,,,
1543218181.9358833,3.86397,8.99187,,,
1543218182.0366848,3.86034,8.99187,,,
1543218182.143735,3.86034,8.99187,,,
1543218182.236651,3.86034,8.99959,,,
1543218182.3366506,3.85709,8.99959,,,
1543218182.459076,3.85709,8.99959,0,0,0
1543218182.5566592,3.85709,9.00705,,,
1543218182.6393628,3.85406,9.00705,,,
1543218182.737117,3.85406,9.00705,,,
1543218182.837225,3.85406,9.00705,,,
1543218182.9472282,3.85126,9.01347,,,
1543218183.0614862,3.85126,9.01347,,,
1543218183.1382327,3.85126,9.01347,,,
1543218183.2588582,3.85126,9.02017,,,
1543218183.342468,3.8486,9.02017,,,
1543218183.4540977,3.8486,9.02017,0,0,0
1543218183.5368755,3.8486,9.02608,,,
1543218183.6372213,3.84619,9.02608,,,
1543218183.737003,3.84619,9.02608,,,
1543218183.844833,3.84619,9.03123,,,
1543218183.9369361,3.84619,9.03123,,,
1543218184.0570223,3.84392,9.03123,,,
1543218184.144446,3.84392,9.03123,,,
1543218184.257118,3.84392,9.03638,,,
1543218184.3384638,3.84172,9.03638,,,
1543218184.4384637,3.84172,9.03638,0,0,0
1543218184.5382235,3.84172,9.04178,,,
1543218184.6473296,3.83968,9.04178,,,
1543218184.7567513,3.83968,9.04178,,,
1543218184.8552742,3.83968,9.04178,,,
1543218184.9475791,3.83968,9.04614,,,
1543218185.039599,3.83778,9.04614,,,
1543218185.1461565,3.83778,9.04614,,,
1543218185.2397172,3.83778,9.05052,,,
1543218185.3393486,3.83597,9.05052,,,
1543218185.4395657,3.83597,9.05052,0,0,0
1543218185.5618467,3.83597,9.05464,,,
1543218185.6544273,3.83415,9.05464,,,
1543218185.7527254,3.83415,9.05464,,,
1543218185.8400984,3.83415,9.05464,,,
1543218185.953438,3.83415,9.05901,,,
1543218186.04145,3.83249,9.05901,,,
1543218186.1408384,3.83249,9.05901,,,
1543218186.240841,3.83249,9.06261,,,
1543218186.3473225,3.8309,9.06261,,,
1543218186.467472,3.8309,9.06261,0,0,0
1543218186.5551867,3.8309,9.06621,,,
1543218186.64244,3.8293,9.06621,,,
1543218186.7430735,3.8293,9.06621,,,
1543218186.850939,3.8293,9.06621,,,
1543218186.943203,3.8293,9.06981,,,
1543218187.0435772,3.82787,9.06981,,,
1543218187.1435666,3.82787,9.06981,,,
1543218187.2499132,3.82787,9.07341,,,
1543218187.374803,3.82643,9.07341,,,
1543218187.4451933,3.82643,9.07341,0,0,0
1543218187.5440452,3.82643,9.07675,,,
1543218187.6565614,3.82507,9.07675,,,
1543218187.7670443,3.82507,9.07675,,,
1543218187.8450599,3.82507,9.07675,,,
1543218187.9445493,3.82507,9.08009,,,
1543218188.058582,3.8237,9.08009,,,
1543218188.1616685,3.8237,9.08009,,,
1543218188.245311,3.8237,9.08293,,,
1543218188.3446727,3.82242,9.08293,,,
1543218188.4450428,3.82242,9.08293,0,0,0
1543218188.55117,3.82242,9.08575,,,
1543218188.6452808,3.82121,9.08575,,,
1543218188.7452917,3.82121,9.08575,,,
1543218188.8452919,3.82121,9.08575,,,
1543218188.9891462,3.81999,9.08859,,,
1543218189.0773325,3.81999,9.08859,,,
1543218189.1498187,3.81999,9.08859,,,
1543218189.2465992,3.81999,9.09193,,,
1543218189.3584552,3.81879,9.09193,,,
1543218189.445703,3.81879,9.09193,0,0,0
1543218189.547247,3.81879,9.0945,,,
1543218189.6465685,3.81772,9.0945,,,
1543218189.751416,3.81772,9.0945,,,
1543218189.8676803,3.81772,9.0945,,,
1543218189.9469,3.81772,9.09708,,,
1543218190.0470324,3.81659,9.09708,,,
1543218190.1472907,3.81659,9.09708,,,
1543218190.2559164,3.81659,9.09966,,,
1543218190.3475537,3.81554,9.09966,,,
1543218190.4473002,3.81554,9.09966,0,0,0
1543218190.5474224,3.81554,9.10222,,,
1543218190.6873057,3.81447,9.10222,,,
1543218190.7845232,3.81447,9.10222,,,
1543218190.8541088,3.81447,9.10222,,,
1543218190.9481847,3.81447,9.10428,,,
1543218191.0636642,3.81349,9.10428,,,
1543218191.1489189,3.81349,9.10428,,,
1543218191.2481744,3.81349,9.1066,,,
1543218191.348914,3.8125,9.1066,,,
1543218191.4573886,3.8125,9.1066,0,0,0
1543218191.5737433,3.8125,9.10942,,,
1543218191.6510592,3.8125,9.10942,,,
1543218191.7495182,3.81152,9.10942,,,
1543218191.8523936,3.81152,9.10942,,,
1543218191.958547,3.81152,9.11174,,,
1543218192.049654,3.81061,9.11174,,,
1543218192.1499472,3.81061,9.11174,,,
1543218192.2501879,3.81061,9.1138,,,
1543218192.390186,3.80971,9.1138,,,
1543218192.4551725,3.80971,9.1138,0,0,0
1543218192.5506785,3.80971,9.11586,,,
1543218192.650658,3.80971,9.11586,,,
1543218192.7641587,3.80879,9.11586,,,
1543218192.8518848,3.80879,9.11586,,,
1543218192.951055,3.80879,9.11766,,,
1543218193.0515537,3.80797,9.11766,,,
1543218193.1779711,3.80797,9.11766,,,
1543218193.2647896,3.80797,9.11972,,,
1543218193.351423,3.80705,9.11972,,,
1543218193.4525135,3.80705,9.11972,0,0,0
1543218193.5529988,3.80705,9.11972,,,
1543218193.6627717,3.80629,9.12202,,,
1543218193.753505,3.80629,9.12202,,,
1543218193.8535032,3.80629,9.12202,,,
1543218193.976063,3.80629,9.12383,,,
1543218194.0569227,3.80547,9.12383,,,
1543218194.154006,3.80547,9.12383,,,
1543218194.2540076,3.80547,9.12563,,,
1543218194.3540108,3.8047,9.12563,,,
1543218194.4678867,3.8047,9.12563,0,0,0
1543218194.554416,3.8047,9.12563,,,
1543218194.654251,3.8047,9.12794,,,
1543218194.7748415,3.80396,9.12794,,,
1543218194.8633916,3.80396,9.12794,,,
1543218194.9716475,3.80396,9.12975,,,
1543218195.0554852,3.80319,9.12975,,,
1543218195.154299,3.80319,9.12975,,,
1543218195.2555137,3.80319,9.13129,,,
1543218195.3618937,3.80243,9.13129,,,
1543218195.4556198,3.80243,9.13129,0,0,0
1543218195.5712483,3.80243,9.13129,,,
1543218195.6637762,3.80243,9.13309,,,
1543218195.777258,3.80176,9.13309,,,
1543218195.860863,3.80176,9.13309,,,
1543218195.957744,3.80176,9.13463,,,
1543218196.0552464,3.80107,9.13463,,,
1543218196.167868,3.80107,9.13463,,,
1543218196.2807922,3.80107,9.13617,,,
1543218196.3687856,3.80038,9.13617,,,
1543218196.4649906,3.80038,9.13617,0,0,0
1543218196.5623865,3.80038,9.13617,,,
1543218196.6734831,3.80038,9.13747,,,
1543218196.7573645,3.79971,9.13747,,,
1543218196.8573565,3.79971,9.13747,,,
1543218196.957732,3.79971,9.13953,,,
1543218197.0660827,3.79903,9.13953,,,
1543218197.1612146,3.79903,9.13953,,,
1543218197.280735,3.79903,9.14081,,,
1543218197.3715026,3.79843,9.14081,,,
1543218197.477335,3.79843,9.14081,0,0,0
1543218197.5614636,3.79843,9.14081,,,
1543218197.6572459,3.79843,9.14235,,,
1543218197.7576196,3.79774,9.14235,,,
1543218197.8678596,3.79774,9.14235,,,
1543218197.9578686,3.79774,9.14415,,,
1543218198.0617075,3.79713,9.14415,,,
1543218198.1816978,3.79713,9.14415,,,
1543218198.2783964,3.79713,9.14595,,,
1543218198.3764186,3.79652,9.14595,,,
1543218198.4592426,3.79652,9.14595,0,0,0
1543218198.5594716,3.79652,9.14595,,,
1543218198.6601,3.79652,9.14723,,,
1543218198.7671006,3.79593,9.14723,,,
1543218198.8594844,3.79593,9.14723,,,
1543218198.959372,3.79593,9.14853,,,
1543218199.0794642,3.79532,9.14853,,,
1543218199.1844633,3.79532,9.14853,,,
1543218199.265596,3.79532,9.15007,,,
1543218199.3602095,3.79478,9.15007,,,
1543218199.4602063,3.79478,9.15007,0,0,0
1543218199.5717545,3.79478,9.15007,,,
1543218199.6613488,3.79478,9.15109,,,
1543218199.7600956,3.79419,9.15109,,,
1543218199.8817468,3.79419,9.15109,,,
1543218199.9678488,3.79419,9.15237,,,
1543218200.0788758,3.79366,9.15237,,,
1543218200.1621013,3.79366,9.15237,,,
1543218200.2605786,3.79366,9.15367,,,
1543218200.3643398,3.79312,9.15367,,,
1543218200.4713516,3.79312,9.15367,0,0,0
1543218200.5621157,3.79312,9.15367,,,
1543218200.6851869,3.79312,9.15495,,,
1543218200.764251,3.79253,9.15495,,,
1543218200.8819516,3.79253,9.15495,,,
1543218200.9645858,3.79253,9.15649,,,
1543218201.0648205,3.79199,9.15649,,,
1543218201.1633368,3.79199,9.15649,,,
1543218201.27332,3.79199,9.15778,,,
1543218201.3634439,3.79199,9.15778,,,
1543218201.4859118,3.79153,9.15778,0,0,0
1543218201.5654576,3.79153,9.15778,,,
1543218201.67223,3.79153,9.15881,,,
1543218201.786832,3.791,9.15881,,,
1543218201.864318,3.791,9.15881,,,
1543218201.964185,3.791,9.15984,,,
1543218202.0673492,3.79048,9.15984,,,
1543218202.1812108,3.79048,9.15984,,,
1543218202.2874894,3.79048,9.16138,,,
1543218202.367106,3.79048,9.16138,0,0,0
1543218202.4643211,3.78995,9.16138,,,
1543218202.5720878,3.78995,9.16138,,,
1543218202.66545,3.78995,9.16318,,,
1543218202.7662077,3.78949,9.16318,,,
1543218202.8649385,3.78949,9.16318,,,
1543218202.988292,3.78949,9.16396,,,
1543218203.106474,3.78903,9.16396,,,
1543218203.1672006,3.78903,9.16396,,,
1543218203.265186,3.78903,9.16396,,,
1543218203.3776798,3.78851,9.16524,,,
1543218203.4901915,3.78851,9.16524,0,0,0
1543218203.5680509,3.78851,9.16524,,,
1543218203.6656864,3.78851,9.16602,,,
1543218203.7721593,3.78806,9.16602,,,
1543218203.8941817,3.78806,9.16602,,,
1543218203.9724295,3.78806,9.1673,,,
1543218204.0674431,3.7876,9.1673,,,
1543218204.1750262,3.7876,9.1673,,,
1543218204.284938,3.7876,9.1673,,,
1543218204.3677046,3.7876,9.16833,0,0,0
1543218204.4676838,3.78714,9.16833,,,
1543218204.5682871,3.78714,9.16833,,,
1543218204.6850576,3.78714,9.16936,,,
1543218204.775702,3.7867,9.16936,,,
1543218204.868327,3.7867,9.16936,,,
1543218204.9672015,3.7867,9.17014,,,
1543218205.0878074,3.78632,9.17014,,,
1543218205.1717148,3.78632,9.17014,,,
1543218205.267559,3.78632,9.17014,,,
1543218205.3680806,3.78632,9.17142,,,
1543218205.4957814,3.78586,9.17142,0,0,0
1543218205.5849075,3.78586,9.17142,,,
1543218205.6714158,3.78586,9.1727,,,
1543218205.768437,3.7854,9.1727,,,
1543218205.8691788,3.7854,9.1727,,,
1543218205.9769092,3.7854,9.17348,,,
1543218206.0692778,3.78496,9.17348,,,
1543218206.1700473,3.78496,9.17348,,,
1543218206.28053,3.78496,9.17348,,,
1543218206.39292,3.78458,9.17476,,,
1543218206.4764369,3.78458,9.17476,0,0,0
1543218206.5712938,3.78458,9.17476,,,
1543218206.6731443,3.78458,9.17554,,,
1543218206.7843196,3.78412,9.17554,,,
1543218206.874172,3.78412,9.17554,,,
1543218206.9729023,3.78412,9.17656,,,
1543218207.0798912,3.78374,9.17656,,,
1543218207.187777,3.78374,9.17656,,,
1543218207.273406,3.78374,9.17656,,,
1543218207.3751464,3.78374,9.17734,,,
1543218207.4754102,3.78336,9.17734,0,0,0
1543218207.5779054,3.78336,9.17734,,,
1543218207.6920292,3.78336,9.17836,,,
1543218207.772892,3.78291,9.17836,,,
1543218207.88242,3.78291,9.17836,,,
1543218207.9919033,3.78291,9.17964,,,
1543218208.0819166,3.78253,9.17964,,,
1543218208.1753738,3.78253,9.17964,,,
1543218208.2755194,3.78253,9.17964,,,
1543218208.3751752,3.78253,9.18094,,,
1543218208.4771514,3.78215,9.18094,0,0,0
1543218208.582261,3.78215,9.18094,,,
1543218208.6785796,3.78215,9.1817,,,
1543218208.7921488,3.78177,9.1817,,,
1543218208.8890026,3.78177,9.1817,,,
1543218208.9752614,3.78177,9.18248,,,
1543218209.0748887,3.78139,9.18248,,,
1543218209.1749904,3.78139,9.18248,,,
1543218209.2827446,3.78139,9.18248,,,
1543218209.3939993,3.78139,9.1835,,,
1543218209.475384,3.78102,9.1835,0,0,0
1543218209.5942345,3.78102,9.1835,,,
1543218209.6767313,3.78102,9.18402,,,
1543218209.782119,3.78064,9.18402,,,
1543218209.8771322,3.78064,9.18402,,,
1543218209.9763517,3.78064,9.1853,,,
1543218210.0775132,3.78026,9.1853,,,
1543218210.1972558,3.78026,9.1853,,,
1543218210.2817664,3.78026,9.1853,,,
1543218210.3981192,3.78026,9.18634,,,
1543218210.477601,3.77995,9.18634,0,0,0
1543218210.5880995,3.77995,9.18634,,,
1543218210.677139,3.77995,9.18684,,,
1543218210.7779992,3.77957,9.18684,,,
1543218210.8781085,3.77957,9.18684,,,
1543218210.9848611,3.77957,9.18788,,,
1543218211.094614,3.77921,9.18788,,,
