Cell Model,VTC6VTC6
Cell Number,3
Power Level,23.15
Load,1
Temperature,40
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1539793476.4616702,4.19353,0.000106812,,,
1539793476.5552216,4.19353,0.41687,0,0,0
1539793476.6689851,4.19353,0.41687,,,
1539793476.7718902,4.07445,0.41687,,,
1539793476.8619606,4.07445,5.68059,,,
1539793476.9526043,4.07445,5.68059,,,
1539793477.0659032,4.07445,5.68059,,,
1539793477.169577,4.06847,5.68878,,,
1539793477.2583175,4.06847,5.68878,,,
1539793477.3515067,4.06847,5.68878,,,
1539793477.4570825,4.06476,5.69365,,,
1539793477.5677683,4.06476,5.69365,0,0,0
1539793477.652861,4.06476,5.69365,,,
1539793477.7477944,4.06181,5.69365,,,
1539793477.8497303,4.06181,5.69801,,,
1539793477.9547079,4.06181,5.69801,,,
1539793478.0461733,4.06181,5.69801,,,
1539793478.154862,4.05923,5.7016,,,
1539793478.2479892,4.05923,5.7016,,,
1539793478.3670397,4.05923,5.7016,,,
1539793478.48113,4.05696,5.7016,,,
1539793478.5541267,4.05696,5.70442,0,0,0
1539793478.6577191,4.05696,5.70442,,,
1539793478.7661152,4.05493,5.70442,,,
1539793478.8722649,4.05493,5.70775,,,
1539793478.9537106,4.05493,5.70775,,,
1539793479.053585,4.05493,5.70775,,,
1539793479.1562538,4.05296,5.71031,,,
1539793479.263566,4.05296,5.71031,,,
1539793479.3491662,4.05296,5.71031,,,
1539793479.4579885,4.05122,5.71031,,,
1539793479.5601103,4.05122,5.71262,0,0,0
1539793479.656929,4.05122,5.71262,,,
1539793479.7594838,4.04955,5.71262,,,
1539793479.8592882,4.04955,5.71494,,,
1539793479.9612334,4.04955,5.71494,,,
1539793480.073243,4.04955,5.71494,,,
1539793480.1823223,4.04796,5.71724,,,
1539793480.2663243,4.04796,5.71724,,,
1539793480.360936,4.04796,5.71724,,,
1539793480.4657354,4.04645,5.71724,,,
1539793480.5632448,4.04645,5.71954,0,0,0
1539793480.6688988,4.04645,5.71954,,,
1539793480.7615962,4.04645,5.71954,,,
1539793480.8604522,4.04494,5.72159,,,
1539793480.9793622,4.04494,5.72159,,,
1539793481.0835466,4.04494,5.72159,,,
1539793481.1606154,4.04358,5.72339,,,
1539793481.249493,4.04358,5.72339,,,
