Cell Model,VTC6
Cell Number,7
Power Level,34.73
Load,1
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540561108.3810613,4.19678,0.000106812,,,
1540561108.4786677,4.15117,2.6922,0,0,0
1540561108.5718932,4.15117,2.6922,,,
1540561108.671519,4.15117,2.6922,,,
1540561108.7567275,4.01346,2.6922,,,
1540561108.8534925,4.01346,8.65231,,,
1540561108.962221,4.01346,8.65231,,,
1540561109.060137,4.01346,8.65231,,,
1540561109.157912,4.00627,8.66743,,,
1540561109.2582052,4.00627,8.66743,,,
1540561109.359249,4.00627,8.66743,,,
1540561109.4598424,4.00121,8.67845,0,0,0
1540561109.5563562,4.00121,8.67845,,,
1540561109.6559281,4.00121,8.67845,,,
1540561109.7563295,3.99704,8.67845,,,
1540561109.8661609,3.99704,8.68742,,,
1540561109.9739642,3.99704,8.68742,,,
1540561110.0608573,3.99704,8.68742,,,
1540561110.1613195,3.99348,8.69511,,,
1540561110.2667286,3.99348,8.69511,,,
1540561110.3708875,3.99348,8.69511,,,
1540561110.4580698,3.99023,8.70229,0,0,0
1540561110.5597315,3.99023,8.70229,,,
1540561110.667029,3.99023,8.70229,,,
1540561110.7701092,3.98737,8.70229,,,
1540561110.8607864,3.98737,8.70819,,,
1540561110.9585314,3.98737,8.70819,,,
1540561111.0630312,3.98737,8.70819,,,
1540561111.1615677,3.98471,8.71434,,,
1540561111.2614684,3.98471,8.71434,,,
1540561111.3589091,3.98471,8.71434,,,
1540561111.4602907,3.98222,8.71973,0,0,0
1540561111.5761125,3.98222,8.71973,,,
1540561111.6772747,3.98222,8.71973,,,
1540561111.7582583,3.97987,8.71973,,,
1540561111.8611405,3.97987,8.72459,,,
1540561111.96711,3.97987,8.72459,,,
1540561112.0719976,3.97987,8.72459,,,
1540561112.1564422,3.97768,8.72972,,,
1540561112.2562444,3.97768,8.72972,,,
1540561112.3697572,3.97768,8.72972,,,
1540561112.4654155,3.97556,8.72972,0,0,0
1540561112.5605989,3.97556,8.73433,,,
1540561112.6583378,3.97556,8.73433,,,
1540561112.7632084,3.97359,8.73433,,,
1540561112.8655791,3.97359,8.73869,,,
1540561112.9625115,3.97359,8.73869,,,
1540561113.0614572,3.97359,8.73869,,,
1540561113.1663756,3.97169,8.74254,,,
1540561113.280348,3.97169,8.74254,,,
1540561113.380508,3.97169,8.74254,,,
1540561113.4660397,3.96988,8.74254,0,0,0
1540561113.5664444,3.96988,8.74689,,,
1540561113.6779227,3.96988,8.74689,,,
1540561113.7798626,3.96814,8.74689,,,
1540561113.8635573,3.96814,8.75047,,,
1540561113.9610312,3.96814,8.75047,,,
1540561114.069283,3.96814,8.75047,,,
1540561114.191097,3.96648,8.75407,,,
1540561114.269076,3.96648,8.75407,,,
1540561114.3604677,3.96648,8.75407,,,
1540561114.4656894,3.96489,8.75407,0,0,0
1540561114.566006,3.96489,8.75766,,,
1540561114.664008,3.96489,8.75766,,,
1540561114.7639148,3.9633,8.75766,,,
1540561114.8633034,3.9633,8.76151,,,
1540561114.9783397,3.9633,8.76151,,,
1540561115.0811517,3.9633,8.76151,,,
1540561115.1667993,3.96179,8.76457,,,
1540561115.2642756,3.96179,8.76457,,,
1540561115.3734822,3.96179,8.76457,,,
1540561115.4770648,3.96036,8.76457,0,0,0
1540561115.5677974,3.96036,8.76765,,,
1540561115.6645699,3.96036,8.76765,,,
1540561115.772854,3.95891,8.76765,,,
1540561115.874733,3.95891,8.77072,,,
1540561115.9688137,3.95891,8.77072,,,
1540561116.06893,3.95891,8.77072,,,
1540561116.1672778,3.95755,8.7738,,,
1540561116.2660298,3.95755,8.7738,,,
1540561116.3673387,3.95755,8.7738,,,
1540561116.4691005,3.95619,8.7738,0,0,0
1540561116.5694115,3.95619,8.77689,,,
1540561116.685352,3.95619,8.77689,,,
1540561116.7834654,3.95491,8.77689,,,
1540561116.8698473,3.95491,8.77969,,,
1540561116.9694543,3.95491,8.77969,,,
1540561117.0729935,3.95491,8.77969,,,
1540561117.1719823,3.95361,8.78278,,,
1540561117.266841,3.95361,8.78278,,,
1540561117.374739,3.95361,8.78278,,,
1540561117.4721777,3.95241,8.78278,0,0,0
1540561117.5906155,3.95241,8.78508,,,
1540561117.6931243,3.95241,8.78508,,,
1540561117.7815084,3.9512,8.78508,,,
1540561117.8716457,3.9512,8.7879,,,
1540561117.9832542,3.9512,8.7879,,,
1540561118.0878363,3.9512,8.7879,,,
1540561118.1694798,3.94998,8.79073,,,
1540561118.2683234,3.94998,8.79073,,,
1540561118.3741887,3.94998,8.79073,,,
1540561118.4754443,3.94885,8.79073,0,0,0
1540561118.5719213,3.94885,8.79353,,,
1540561118.6712325,3.94885,8.79353,,,
1540561118.7729511,3.94885,8.79353,,,
1540561118.8700218,3.94772,8.79585,,,
1540561118.9683666,3.94772,8.79585,,,
1540561119.0728211,3.94772,8.79585,,,
1540561119.173145,3.94658,8.79816,,,
1540561119.284207,3.94658,8.79816,,,
1540561119.3896902,3.94658,8.79816,,,
1540561119.4788022,3.94553,8.79816,0,0,0
1540561119.5746436,3.94553,8.80072,,,
1540561119.6832144,3.94553,8.80072,,,
1540561119.784955,3.94446,8.80072,,,
1540561119.8733106,3.94446,8.80302,,,
1540561119.9754555,3.94446,8.80302,,,
1540561120.0807078,3.94446,8.80302,,,
1540561120.1860657,3.94341,8.80507,,,
1540561120.278799,3.94341,8.80507,,,
1540561120.378161,3.94341,8.80507,,,
1540561120.4796042,3.94241,8.80507,0,0,0
1540561120.5859423,3.94241,8.80739,,,
1540561120.6738117,3.94241,8.80739,,,
1540561120.7779,3.94241,8.80739,,,
1540561120.8798254,3.94144,8.80994,,,
1540561120.9848182,3.94144,8.80994,,,
1540561121.0739615,3.94144,8.80994,,,
1540561121.1749237,3.94038,8.81226,,,
1540561121.2840962,3.94038,8.81226,,,
1540561121.3804593,3.94038,8.81226,,,
1540561121.477995,3.93939,8.81226,0,0,0
1540561121.578118,3.93939,8.8143,,,
1540561121.678318,3.93939,8.8143,,,
1540561121.7769186,3.93939,8.8143,,,
1540561121.8764777,3.93849,8.81635,,,
1540561121.9733176,3.93849,8.81635,,,
1540561122.0773141,3.93849,8.81635,,,
1540561122.1894739,3.9375,8.81841,,,
1540561122.2926893,3.9375,8.81841,,,
1540561122.3780227,3.9375,8.81841,,,
1540561122.4793062,3.9366,8.81841,0,0,0
