C-Rate,% SOC,% Entropy
0.1250,4.991394148,297.317493
0.1250,9.810671256,209.2775282
0.1250,14.97418244,116.3427228
0.1250,19.96557659,28.29436212
0.1250,24.95697074,23.1728307
0.1250,29.77624785,42.44993913
0.1250,34.93975904,66.58830444
0.1250,39.93115318,85.85701692
0.1250,45.09466437,85.60513832
0.1250,49.91394148,104.8822468
0.1250,54.90533563,36.34608119
0.1250,59.89672978,1.956257084
0.1250,64.88812392,16.34692078
0.1250,69.87951807,25.8595357
0.1250,75.04302926,40.24180345
0.1250,80.03442341,49.75441837
0.1250,84.85370052,49.51933168
0.1250,90.0172117,59.02355065
0.1250,95.00860585,73.41421435
0.1250,100,141.4634146
0.2500,4.87804878,150.9433962
0.2500,10.02710027,101.8867925
0.2500,15.17615176,52.83018868
0.2500,20.05420054,11.32075472
0.2500,24.93224932,11.32075472
0.2500,29.8102981,22.64150943
0.2500,34.95934959,33.96226415
0.2500,39.83739837,41.50943396
0.2500,44.98644986,41.50943396
0.2500,49.86449864,52.83018868
0.2500,54.74254743,22.64150943
0.2500,59.89159892,0
0.2500,64.7696477,3.773584906
0.2500,69.91869919,15.09433962
0.2500,74.79674797,22.64150943
0.2500,79.67479675,22.64150943
0.2500,84.82384824,26.41509434
0.2500,89.70189702,30.18867925
0.2500,94.5799458,37.73584906
0.2500,99.72899729,71.69811321
1.0000,5.027932961,38.83302297
1.0000,9.776536313,26.55803849
1.0000,14.80446927,15.39106145
1.0000,19.83240223,3.112973309
1.0000,24.8603352,3.057107387
1.0000,30.16759777,5.220360025
1.0000,34.91620112,8.500931099
1.0000,39.94413408,10.6672874
1.0000,44.97206704,10.61142148
1.0000,49.72067039,13.89199255
1.0000,55.02793296,4.944134078
1.0000,59.77653631,-0.664183737
1.0000,65.08379888,2.610180012
1.0000,69.83240223,3.668528864
1.0000,75.1396648,4.720670391
1.0000,79.88826816,5.779019243
1.0000,84.63687151,5.726256983
1.0000,89.94413408,6.77839851
1.0000,94.69273743,8.947858473
1.0000,99.72067039,17.78088144
