Sun_Teeth,Earth_Teeth,Moon_Teeth,Ring_Teeth,Overall_Ratio,DP,Ring_Pitch_Dia,Ring_OD,Carrier_Dia,Safety_Factor
18,40,23,81,8.82608695652174,16,5.0625,5.1875,3.625,13.339741128178
18,41,22,81,9.38636363636363,16,5.0625,5.1875,3.6875,13.339741128178
17,40,22,79,9.44919786096257,16,4.9375,5.0625,3.5625,12.3540105270127
17,40,25,82,8.71764705882353,16,5.125,5.25,3.5625,12.3540105270127
17,41,24,82,9.24019607843137,16,5.125,5.25,3.625,12.3540105270127
17,42,23,82,9.80818414322251,16,5.125,5.25,3.6875,12.3540105270127
17,43,22,82,10.427807486631,16,5.125,5.25,3.75,12.3540105270127
16,40,24,80,9.33333333333333,16,5,5.125,3.5,11.358686440678
16,41,23,80,9.91304347826087,16,5,5.125,3.5625,11.358686440678
16,42,22,80,10.5454545454545,16,5,5.125,3.625,11.358686440678
15,40,23,78,10.0434782608696,16,4.875,5,3.4375,10.432915121822
15,40,26,81,9.30769230769231,16,5.0625,5.1875,3.4375,10.432915121822
15,41,22,78,10.6909090909091,16,4.875,5,3.5,10.432915121822
15,41,25,81,9.856,16,5.0625,5.1875,3.5,10.432915121822
15,42,24,81,10.45,16,5.0625,5.1875,3.5625,10.432915121822
15,43,23,81,11.095652173913,16,5.0625,5.1875,3.625,10.432915121822
15,44,22,81,11.8,16,5.0625,5.1875,3.6875,10.432915121822
14,40,22,76,10.8701298701299,16,4.75,4.875,3.375,9.30088387182203
14,40,25,79,10.0285714285714,16,4.9375,5.0625,3.375,9.30088387182203
14,41,24,79,10.639880952381,16,4.9375,5.0625,3.4375,9.30088387182203
14,42,23,79,11.304347826087,16,4.9375,5.0625,3.5,9.30088387182203
14,42,26,82,10.4615384615385,16,5.125,5.25,3.5,9.30088387182203
14,43,22,79,12.0292207792208,16,4.9375,5.0625,3.5625,9.30088387182203
14,43,25,82,11.0742857142857,16,5.125,5.25,3.5625,9.30088387182203
14,44,24,82,11.7380952380952,16,5.125,5.25,3.625,9.30088387182203
14,45,23,82,12.4596273291925,16,5.125,5.25,3.6875,9.30088387182203
18,40,23,81,8.82608695652174,18,4.5,4.61111111111111,3.22222222222222,8.19781073446328
18,40,26,84,8.17948717948718,18,4.66666666666667,4.77777777777778,3.22222222222222,8.19781073446328
18,41,22,81,9.38636363636363,18,4.5,4.61111111111111,3.27777777777778,8.19781073446328
18,41,25,84,8.65333333333333,18,4.66666666666667,4.77777777777778,3.27777777777778,8.19781073446328
18,42,24,84,9.16666666666667,18,4.66666666666667,4.77777777777778,3.33333333333333,8.19781073446328
18,43,23,84,9.72463768115942,18,4.66666666666667,4.77777777777778,3.38888888888889,8.19781073446328
18,43,26,87,8.99358974358974,18,4.83333333333333,4.94444444444444,3.38888888888889,8.19781073446328
18,44,22,84,10.3333333333333,18,4.66666666666667,4.77777777777778,3.44444444444444,8.19781073446328
18,44,25,87,9.50666666666667,18,4.83333333333333,4.94444444444444,3.44444444444444,8.19781073446328
18,45,24,87,10.0625,18,4.83333333333333,4.94444444444444,3.5,8.19781073446328
18,46,23,87,10.6666666666667,18,4.83333333333333,4.94444444444444,3.55555555555556,8.19781073446328
18,46,26,90,9.84615384615385,18,5,5.11111111111111,3.55555555555556,8.19781073446328
18,47,22,87,11.3257575757576,18,4.83333333333333,4.94444444444444,3.61111111111111,8.19781073446328
18,47,25,90,10.4,18,5,5.11111111111111,3.61111111111111,8.19781073446328
18,48,24,90,11,18,5,5.11111111111111,3.66666666666667,8.19781073446328
18,49,23,90,11.6521739130435,18,5,5.11111111111111,3.72222222222222,8.19781073446328
18,50,22,90,12.3636363636364,18,5,5.11111111111111,3.77777777777778,8.19781073446328
13,40,24,77,10.8717948717949,16,4.8125,4.9375,3.3125,8.13767379502119
13,41,23,77,11.5585284280936,16,4.8125,4.9375,3.375,8.13767379502119
13,41,26,80,10.7041420118343,16,5,5.125,3.375,8.13767379502119
13,42,22,77,12.3076923076923,16,4.8125,4.9375,3.4375,8.13767379502119
13,42,25,80,11.3384615384615,16,5,5.125,3.4375,8.13767379502119
13,43,24,80,12.025641025641,16,5,5.125,3.5,8.13767379502119
13,44,23,80,12.7725752508361,16,5,5.125,3.5625,8.13767379502119
17,40,22,79,9.44919786096257,18,4.38888888888889,4.5,3.16666666666667,7.592039391086
17,40,25,82,8.71764705882353,18,4.55555555555556,4.66666666666667,3.16666666666667,7.592039391086
17,41,24,82,9.24019607843137,18,4.55555555555556,4.66666666666667,3.22222222222222,7.592039391086
17,42,23,82,9.80818414322251,18,4.55555555555556,4.66666666666667,3.27777777777778,7.592039391086
17,42,26,85,9.07692307692308,18,4.72222222222222,4.83333333333333,3.27777777777778,7.592039391086
17,43,22,82,10.427807486631,18,4.55555555555556,4.66666666666667,3.33333333333333,7.592039391086
17,43,25,85,9.6,18,4.72222222222222,4.83333333333333,3.33333333333333,7.592039391086
17,44,24,85,10.1666666666667,18,4.72222222222222,4.83333333333333,3.38888888888889,7.592039391086
17,45,23,85,10.7826086956522,18,4.72222222222222,4.83333333333333,3.44444444444444,7.592039391086
17,45,26,88,9.95927601809955,18,4.88888888888889,5,3.44444444444444,7.592039391086
17,46,22,85,11.4545454545455,18,4.72222222222222,4.83333333333333,3.5,7.592039391086
17,46,25,88,10.5247058823529,18,4.88888888888889,5,3.5,7.592039391086
17,47,24,88,11.1372549019608,18,4.88888888888889,5,3.55555555555556,7.592039391086
17,48,23,88,11.8030690537084,18,4.88888888888889,5,3.61111111111111,7.592039391086
17,48,26,91,10.8823529411765,18,5.05555555555556,5.16666666666667,3.61111111111111,7.592039391086
17,49,22,88,12.5294117647059,18,4.88888888888889,5,3.66666666666667,7.592039391086
17,49,25,91,11.4917647058824,18,5.05555555555556,5.16666666666667,3.66666666666667,7.592039391086
17,50,24,91,12.1519607843137,18,5.05555555555556,5.16666666666667,3.72222222222222,7.592039391086
16,40,24,80,9.33333333333333,18,4.44444444444444,4.55555555555556,3.11111111111111,6.98037246285834
16,41,23,80,9.91304347826087,18,4.44444444444444,4.55555555555556,3.16666666666667,6.98037246285834
16,41,26,83,9.18028846153846,18,4.61111111111111,4.72222222222222,3.16666666666667,6.98037246285834
16,42,22,80,10.5454545454545,18,4.44444444444444,4.55555555555556,3.22222222222222,6.98037246285834
16,42,25,83,9.715,18,4.61111111111111,4.72222222222222,3.22222222222222,6.98037246285834
16,43,24,83,10.2942708333333,18,4.61111111111111,4.72222222222222,3.27777777777778,6.98037246285834
