MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB6843135,2C,20,3.7V,4.2V,4000,96,83.0±2.0,1.5±0.3,135.0±0.5,43.0±0.5,6.6±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA975175,10A,15,3.7V,4.2V,16800,200,307.0±5.0,0.7±0.2,174.0±1.0,74.0±1.0,10.5±0.3,40±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA343128,10A,25,3.7V,4.2V,5600,96,121.0±3.0,1.2±0.2,128.5±0.5,43.0±0.5,10.0±0.3,19±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6845180,10A,25,3.7V,4.2V,5600,120,119.0±3.0,1.2±0.2,180.0±0.5,45.0±0.5,6.6±0.2,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8942126,10A,20,3.7V,4.2V,5200,96,103.5±3.0,1.4±0.3,127.5±0.5,42.0±0.5,8.6±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8098225,1C,5,3.7V,4.2V,21000,160,361.0±5.0,0.9±0.3,224.0±1.0,97.0±1.0,7.3±0.3,45±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB6934096,2C,25,3.7V,4.2V,2200,80,46.5±1.5,2.5±0.5,97.0±0.5,33.5±0.5,6.7±0.3,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB7234096,2C,30,3.7V,4.2V,2300,80,48.5±1.5,2.3±0.5,97.0±0.5,34.0±0.5,6.9±0.3,18±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB4934096,1C,30,3.7V,4.2V,1400,64,31.5±1.5,3.2±0.6,96.5±0.5,34.0±0.5,4.6±0.2,16±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
LFP5563124,1C,5,3.2V,3.65V,3500,120,82.5±2.5,2.3±0.7,126.0±0.5,62.5±0.5,5.3±0.2,30±1,LiFePO4,10.0±1.0,15,0.2,5.0±0.2,
SLPB9349135,10A,40,3.7V,4.2V,5100,120,129.0±3.0,1.0±0.3,136.0±0.5,49.0±0.5,9.0±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5734096,2C,30,3.7V,4.2V,1800,80,38.5±1.5,2.7±0.5,97.0±0.5,34.0±0.5,5.5±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB3434101,1C,30,3.7V,4.2V,1000,64,23.0±1.5,4.5±0.9,100.0±0.5,34.0±0.5,3.3±0.2,16±1,LCO,18.0±1.0,8,0.2,8.3±0.2,
SLPB8349135,10A,25,3.7V,4.2V,5800,120,120.0±3.0,1.2±0.2,136.5±0.5,49.0±0.5,8.1±0.3,24±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB8442126,10A,15,3.7V,4.2V,5200,120,98.5±2.5,1.4±0.3,127.0±0.5,42.0±0.5,8.2±0.3,21±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB7543128,2C,35,3.7V,4.2V,3700,120,85.0±2.5,1.3±0.3,128.0±0.5,43.0±0.5,7.2±0.3,21±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB8843158,1C,5,3.7V,4.2V,7600,120,134.5±3.0,1.8±0.4,157.0±0.5,43.0±0.5,8.5±0.3,20±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB6842126,2C,20,3.7V,4.2V,3700,96,77.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.6±0.2,21±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPBA098112HV,1C,5,3.8V,4.35V,14000,160,223.0±5.0,1.2±0.2,112.0±1.0,97.5±1.0,9.7±0.3,40±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB7044175,10A,20,3.7V,4.2V,5600,96,116.0±3.0,1.2±0.2,175.0±0.5,43.5±0.5,6.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5834096,2C,25,3.7V,4.2V,1800,80,38.5±1.5,2.9±0.6,97.0±0.5,34.0±0.5,5.6±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB4734096,2C,15,3.7V,4.2V,1500,48,30.5±1.5,4.1±0.8,96.5±0.5,34.0±0.5,4.6±0.2,15±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB9975175HV,10A,10,3.8V,4.35V,16800,200,279.0±5.0,0.8±0.3,174.0±1.0,74.0±1.0,9.7±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9143158,10A,15,3.7V,4.2V,7200,120,132.5±3.0,1.2±0.2,157.0±0.5,43.0±0.5,8.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6175106,2C,20,3.7V,4.2V,4700,96,99.0±2.0,1.1±0.2,106.0±0.5,75.0±0.5,5.9±0.2,29±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
LFP7830048,1C,1,3.2V,3.65V,870,16,20.0±1.5,15.0±5.0,49.0±0.5,30.0±0.5,7.5±0.3,14±1,LiFePO4,17.0±1.0,4,0.1,4.0±0.2,
SLPB7034096,2C,20,3.7V,4.2V,2200,64,46.5±1.5,2.7±0.5,97.0±0.5,33.5±0.5,6.7±0.3,15±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB5934096,2C,30,3.7V,4.2V,1800,80,40.5±1.5,2.6±0.5,97.0±0.5,34.0±0.5,5.7±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6030100,2C,20,3.7V,4.2V,1800,64,37.5±1.5,3.2±0.6,100.0±0.5,30.0±0.5,5.8±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7134096,2C,25,3.7V,4.2V,2200,80,47.5±1.5,2.5±0.5,97.0±0.5,33.5±0.5,6.8±0.3,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6034096,2C,25,3.7V,4.2V,1800,80,40.0±1.5,2.8±0.6,97.0±0.5,34.0±0.5,5.8±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPBA690190HV,10A,8,3.8V,4.35V,23600,280,386.0±10.0,0.7±0.2,189.0±1.0,89.0±1.0,10.3±0.3,45±1,LCO+NCM,10.0±1.0,35,0.2,8.3±0.2,
SLPB6634082,2C,30,3.7V,4.2V,1800,80,38.5±1.5,2.8±0.6,83.0±0.5,34.0±0.5,6.4±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6834082,2C,30,3.7V,4.2V,1800,80,40.0±1.5,2.5±0.5,83.0±0.5,34.0±0.5,6.6±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB7530082,2C,20,3.7V,4.2V,1800,64,37.5±1.5,3.0±0.6,83.5±0.5,30.0±0.5,7.3±0.3,15±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB7334082,2C,35,3.7V,4.2V,1800,80,41.5±1.5,2.3±0.5,83.5±0.5,34.0±0.5,7.0±0.3,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPBA4A6213,10A,25,3.7V,4.2V,25000,320,520.0±10.0,0.5±0.2,212.0±1.0,105.5±1.0,10.1±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPB92A6213,10A,25,3.7V,4.2V,22000,320,458.0±10.0,0.5±0.2,212.0±1.0,105.5±1.0,8.9±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPB81A6213,10A,25,3.7V,4.2V,19000,320,399.0±5.0,0.6±0.2,212.0±1.0,105.5±1.0,7.8±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPB9095161,10A,25,3.7V,4.2V,14000,280,294.0±5.0,0.7±0.2,160.0±1.0,94.5±1.0,8.7±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB9095100,10A,25,3.7V,4.2V,8000,280,172.0±5.0,0.8±0.2,99.0±1.0,94.5±1.0,8.7±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB8995183,10A,25,3.7V,4.2V,16000,280,336.0±5.0,0.6±0.2,182.0±1.0,94.5±1.0,8.6±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB9095100,10A,25,3.7V,4.2V,8000,280,172.0±5.0,0.8±0.2,99.0±1.0,94.5±1.0,8.7±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB9095161,10A,25,3.7V,4.2V,14000,280,295.0±5.0,0.7±0.2,160.0±1.0,94.5±1.0,8.7±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB81A6213,10A,25,3.7V,4.2V,19000,320,400.0±10.0,0.6±0.2,212.0±1.0,105.5±1.0,7.8±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPBA5A6213,10A,25,3.7V,4.2V,25000,320,521.0±10.0,0.5±0.2,212.0±0.5,105.5±1.0,10.2±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPB5842121,2C,30,3.7V,4.2V,2900,120,65.0±2.0,1.8±0.4,121.5±0.5,42.0±0.5,5.6±0.2,21.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
LFP6845135,2C,25,3.2V,3.65V,3000,120,79.5±2.0,1.4±0.3,135.0±0.5,45.0±0.5,6.6±0.2,22±1,LiFePO4,10.0±1.0,15,0.2,5.0±0.2,
SLPB7530080,2C,30,3.7V,4.2V,1600,64,35.5±1.5,2.3±0.5,80.0±0.5,30.0±0.5,7.3±0.3,15±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB7930082,2C,20,3.7V,4.2V,1800,64,39.0±1.5,3.0±0.6,83.5±0.5,30.0±0.5,7.5±0.3,15±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB8042126,2C,30,3.7V,4.2V,4300,120,91.0±2.0,1.3±0.3,127.0±0.5,42.0±0.5,7.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB85C0130,1C,5,3.7V,4.2V,16400,160,277.0±5.0,0.9±0.3,129.0±1.0,119.0±1.0,8.2±0.3,45±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB5734076,1C,20,3.7V,4.2V,1400,48,30.0±1.5,3.9±0.8,77.5±0.5,34.0±0.5,5.6±0.2,17±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB7164079,2C,20,3.7V,4.2V,3800,96,77.5±2.0,1.6±0.3,80.0±0.5,64.0±0.5,6.9±0.3,30±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
